symbol,timeframe,trial,balance,ema_fast,ema_slow,rsi_length,adx_length,vwap_length,volume_zscore,mean_rev_length,rsi_overbought,rsi_oversold,adx_threshold,mean_rev_threshold,ema,rsi,adx,vwap,volume,mean_reversion,stoploss,takeprofit,trailing
BTC/USDT,5m,0,566.4799999999959,18,35,8,20,10,1.63,18,69,22,18,0.58,1.24,1.07,1.2,1.17,1.14,1.42,0.0221,0.0221,0.0099
BTC/USDT,5m,1,566.4799999999959,11,78,6,8,10,2.88,15,70,11,20,1.97,1.2,0.94,1.21,1.39,0.89,0.67,0.0216,0.0171,0.0042
BTC/USDT,5m,2,1020.9199999999837,15,61,13,14,15,2.88,30,66,10,16,0.88,0.89,0.99,1.06,0.99,1.39,1.16,0.0163,0.0244,0.0061
BTC/USDT,5m,3,984.4699999999866,16,68,18,14,15,2.09,7,68,11,24,1.84,1.4,1.29,1.01,0.82,1.33,1.17,0.019,0.0221,0.0091
BTC/USDT,5m,4,566.4799999999959,8,21,20,20,13,1.65,18,67,26,26,0.78,1.24,1.28,1.21,1.48,1.28,1.47,0.0229,0.0333,0.0089
BTC/USDT,5m,5,1020.9199999999837,13,52,16,10,13,2.57,9,75,16,18,1.54,0.85,1.23,1.19,1.22,1.32,0.83,0.0216,0.0159,0.0114
BTC/USDT,5m,6,530.0299999999988,18,75,20,6,6,2.39,15,72,15,18,0.66,1.06,1.24,1.18,1.29,0.64,0.98,0.0105,0.0284,0.0113
BTC/USDT,5m,7,566.4799999999959,15,23,20,20,10,1.17,14,69,24,22,1.76,1.23,1.3,0.88,1.49,1.17,0.94,0.0146,0.027,0.0104
BTC/USDT,5m,8,566.4799999999959,12,89,9,14,11,2.97,20,69,20,16,1.14,0.85,0.91,1.1,1.31,1.37,0.87,0.0246,0.0168,0.0051
BTC/USDT,5m,9,566.4799999999959,13,76,10,13,8,1.98,26,80,29,20,0.87,1.2,1.06,1.27,1.14,1.35,0.74,0.0173,0.0132,0.0046
BTC/USDT,5m,10,530.0299999999988,9,22,14,11,20,1.4,5,70,16,23,1.61,1.48,0.85,0.75,1.19,1.2,1.14,0.0138,0.0241,0.0083
BTC/USDT,5m,11,1020.9199999999837,18,30,10,13,21,2.1,10,74,20,22,1.31,1.03,1.41,1.07,1.38,1.18,0.86,0.0146,0.0127,0.0096
BTC/USDT,5m,12,984.4699999999866,11,34,13,14,12,1.89,21,66,27,23,1.07,0.95,1.39,0.78,0.93,0.62,1.14,0.0105,0.0337,0.0057
BTC/USDT,5m,13,1020.9199999999837,17,41,6,18,24,1.42,6,67,24,22,1.75,0.85,1.0,0.73,0.97,1.33,1.0,0.0168,0.0189,0.0074
BTC/USDT,5m,14,566.4799999999959,15,94,7,13,17,1.37,7,80,25,25,1.73,0.88,0.93,1.24,1.17,1.01,0.81,0.0082,0.0165,0.0061
BTC/USDT,5m,15,984.4699999999866,15,30,15,12,17,3.0,9,78,19,30,1.92,0.81,1.19,1.06,1.12,0.65,1.3,0.0082,0.0318,0.0058
BTC/USDT,5m,16,530.0299999999988,11,60,20,17,13,2.69,22,78,17,26,1.9,1.45,1.29,0.82,0.94,1.18,0.95,0.0135,0.0209,0.0088
BTC/USDT,5m,17,984.4699999999866,15,36,12,20,11,2.45,29,74,10,21,1.42,1.26,1.32,1.04,1.03,0.96,1.43,0.0135,0.0223,0.0096
BTC/USDT,5m,18,530.0299999999988,19,30,9,20,21,2.63,18,78,18,25,1.75,1.3,0.96,0.84,1.16,1.12,1.29,0.016,0.0192,0.0116
BTC/USDT,5m,19,566.4799999999959,19,73,14,20,8,1.19,6,68,18,17,1.0,1.24,0.84,1.23,1.02,1.3,0.8,0.0125,0.0312,0.0058
BTC/USDT,5m,20,530.0299999999988,19,32,19,12,18,2.4,11,77,29,19,1.51,1.49,1.3,1.28,1.01,1.17,1.11,0.0216,0.0162,0.0105
BTC/USDT,5m,21,530.0299999999988,19,82,17,12,23,1.59,23,75,18,29,1.13,1.42,1.34,1.05,0.97,1.14,1.42,0.0175,0.0284,0.0106
BTC/USDT,5m,22,1020.9199999999837,18,55,6,14,9,2.44,23,65,15,30,0.8,0.82,1.19,0.97,1.08,1.37,1.2,0.0236,0.0132,0.0055
BTC/USDT,5m,23,566.4799999999959,15,21,20,10,17,2.8,22,69,20,15,1.72,1.12,1.0,1.22,1.47,1.47,1.42,0.0188,0.0239,0.0107
BTC/USDT,5m,24,566.4799999999959,12,43,10,16,24,2.41,16,71,23,18,1.95,0.98,0.93,0.91,1.48,1.44,0.99,0.0212,0.0208,0.0101
BTC/USDT,5m,25,530.0299999999988,8,30,15,19,23,1.62,30,68,14,27,1.65,1.18,1.02,0.75,1.24,0.79,0.84,0.0138,0.0225,0.0081
BTC/USDT,5m,26,1020.9199999999837,10,93,13,20,6,2.39,26,71,27,30,1.1,0.94,1.41,0.78,1.36,1.19,0.9,0.0164,0.0124,0.0063
BTC/USDT,5m,27,566.4799999999959,8,28,10,17,12,2.63,23,77,10,19,1.6,1.18,1.03,1.26,1.18,1.36,0.85,0.018,0.0204,0.012
BTC/USDT,5m,28,566.4799999999959,14,82,7,20,7,1.12,22,67,11,19,1.65,0.99,1.14,0.86,1.34,1.4,1.12,0.0242,0.0259,0.0116
BTC/USDT,5m,29,1020.9199999999837,12,83,20,9,16,1.63,16,65,18,26,1.04,0.96,1.47,1.3,1.41,0.61,0.78,0.0115,0.0164,0.0052
BTC/USDT,5m,30,530.0299999999988,17,86,8,10,6,1.47,28,76,28,28,1.78,1.44,1.22,1.19,1.01,0.97,1.42,0.0235,0.0181,0.0042
BTC/USDT,5m,31,984.4699999999866,19,76,6,12,25,2.32,5,79,13,17,1.18,1.41,1.32,1.19,0.8,1.09,0.96,0.0109,0.0215,0.0097
BTC/USDT,5m,32,1020.9199999999837,8,62,20,7,23,2.87,6,69,17,15,1.73,0.91,1.41,1.04,1.04,0.93,0.72,0.0106,0.0164,0.0109
BTC/USDT,5m,33,530.0299999999988,13,41,8,8,16,1.65,29,67,23,21,1.4,1.27,0.86,1.16,0.83,1.31,1.27,0.01,0.0215,0.012
BTC/USDT,5m,34,530.0299999999988,8,25,7,20,16,2.64,15,79,14,18,1.3,1.42,1.17,0.99,0.89,0.66,1.0,0.0166,0.0295,0.0097
BTC/USDT,5m,35,530.0299999999988,9,46,15,19,21,2.66,11,66,21,23,1.87,1.38,1.45,1.29,1.27,1.08,0.62,0.0227,0.0302,0.0107
BTC/USDT,5m,36,566.4799999999959,13,41,13,6,17,2.31,9,71,11,16,0.74,1.05,0.97,0.93,1.12,1.35,1.43,0.0159,0.0223,0.0072
BTC/USDT,5m,37,1020.9199999999837,9,92,19,6,6,2.67,28,71,17,26,0.67,1.02,1.36,1.18,1.25,1.09,1.34,0.0142,0.0159,0.0075
BTC/USDT,5m,38,566.4799999999959,19,75,7,18,17,2.83,3,78,12,16,1.97,1.21,1.38,0.78,1.27,1.13,0.67,0.0166,0.0321,0.0048
BTC/USDT,5m,39,566.4799999999959,11,74,10,15,12,2.34,2,74,27,26,1.83,1.4,1.15,1.02,1.05,1.44,1.27,0.0108,0.0199,0.0111
BTC/USDT,5m,40,530.0299999999988,15,88,17,7,25,2.28,10,80,30,18,1.24,1.04,0.9,0.93,1.31,0.71,0.74,0.017,0.0257,0.0076
BTC/USDT,5m,41,530.0299999999988,12,70,12,14,9,1.92,14,74,21,17,0.72,1.32,1.04,0.75,0.81,0.63,1.02,0.0206,0.029,0.0047
BTC/USDT,5m,42,566.4799999999959,13,65,14,8,13,1.24,28,70,26,29,0.75,1.03,1.13,0.93,1.31,0.88,0.75,0.02,0.0342,0.0074
BTC/USDT,5m,43,1020.9199999999837,10,51,16,6,23,1.31,21,72,26,19,0.55,0.85,1.42,0.75,1.44,1.29,0.68,0.0099,0.0196,0.0057
BTC/USDT,5m,44,530.0299999999988,12,91,19,17,25,2.11,8,72,13,26,1.31,1.35,1.34,1.08,1.28,0.77,1.08,0.0194,0.0236,0.0107
BTC/USDT,5m,45,566.4799999999959,18,65,12,11,21,1.23,22,79,27,16,1.93,1.13,0.88,1.09,0.96,1.21,0.95,0.0134,0.0244,0.0058
BTC/USDT,5m,46,984.4699999999866,11,96,11,12,24,2.98,7,74,28,30,1.01,1.32,1.33,1.1,0.9,1.13,0.74,0.0183,0.0164,0.0066
BTC/USDT,5m,47,530.0299999999988,11,77,17,9,19,1.91,7,74,25,27,1.39,1.35,1.47,1.15,1.14,0.72,1.36,0.0108,0.035,0.0046
BTC/USDT,5m,48,984.4699999999866,20,39,15,13,23,1.27,15,79,18,20,1.66,1.16,1.2,1.28,0.84,1.17,1.35,0.0174,0.029,0.0072
